"marketplace","customer_id","review_id","product_id","product_parent","product_title","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","year","product_category"
"US","33631101","RXVC5R2Q77NK8","0571233724","977049896","Qi Advanced Banter: The Qi Book of Quotations","5","22","24","N","N","""I don't even know what street Canada is on.""  --Al Capone","I must have a dozen or so books of quotations. It's hard to say which one is better than another;one can always find something in any one of them.As far as these compilations go;this one is pretty good and not as expensive as most.It is well constructed with a hard cover,has 448 pages of quotations arranged under 400 subjects.With several quotations under each subject,you should find just the right one to suit your purpose or just your enjoyment.I know I did and here are just a few that took my fancy;<br /><br />  Blondes<br />  \\""I'm not offended by all the dumb blonde jokes,because I<br />  know I'm not dumb and I'm also not blonde.\\""--Dolly Parton<br /><br />  Books<br />  \\""The reason why so few good books are written is that so few people<br />  who can write know anything.\\""--Mark Twain<br /><br />  Birds<br />  \\""The mosquito is the State Bird of New Jersey.\\""  anomonous<br /><br />  Education<br />  \\""My education was interrupted only by my schooling.\\""--Winston<br />  Churchill<br /><br />  Proverbs<br />  \\""Almost every wise saying has an opposite one,no less wise,to balance<br />  it.\\""--George santayna<br /><br />  \\""I always love to quote Albert Einstein because nobody dares to<br />  contradict him.\\""--Studs Terkel<br /><br />  War<br />  \\""No bastard ever won a war by dying for his country.He won it by<br />  making some dumb bastard die for his.\\""--Gen. George Patton<br /><br />  \\""I don't know what weapons WWIII will be fought with,but WWIV will<br />  be fought with sticks and stones.\\""--Albert Einstein<br /><br />  Stupidity<br />  \\""We are all born ignorant,but one must work hard to remain stupid.\\""<br />  --Benjamin Franklin","2008-12-13","2008","Books"
"US","12547443","R2HHJYS2W39XXK","1453772863","517108048","LAX California: An Early History; Westchester, Playa Vista, Inglewood & Playa Del Rey","5","0","0","N","Y","Great book and very fast delivery very happy would recommended ...","Great book and very fast delivery very happy would recommended this book to anyone who grew up in Westchester ca In the 1960s - 1970s","2015-08-14","2015","Books"
"US","27717622","R8B169XA90RYS","0345482476","62929266","Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II","5","1","1","N","N","An excellent book...period.","I read Shadow Divers while on a dive vacation in the Virgin Islands.  I had just completed a tourist grade wreck dive (Miss Opportunity) when I cracked open Shadow Divers for the first time.  This book reached out, grabbed me by my BC, yanked me in and didn't let go until it was finished.  It is a well-crafted and perfectly presented account of 2 men who overcame a deep and competitive dislike for one another to unravel a 250 foot deep mystery that ultimately became a life's obsession for both of them. Shadow Divers takes the reader into the life & unbelievably well-controlled mind of the deep wreck diver and further into the shared philosophy of 2 men who HAD to reveal the identity of a mysterious sunken U-boat off the New Jersey coast.  It is written so well that even if the reader has absolutely no interest in scuba diving, has no prior knowlege of U-boats & associated World War II history, and has never even snorkeled a day is his life, he won't be able to put it down. The author winds the story expertly through the lives of the young men as they grow older and mature into expert researchers and master diving skills that most other divers think impossible; the effects that this obsession had on their lives & families; on their friendship; on the world class diver boat captain as he succumbs to losing his grip on diving & life to alcohol; through the deaths of several divers as the mystery unfolds, and finally through the discovered history of this U-boat and the men that were and are still aboard today.<br /><br />This is an amazing story, expertly told.  Read it.","2008-12-13","2008","Books"
"US","24112715","R2KSHOGVI3FV5E","1631061240","383464621","From Frank Everyday Note Cards To Make Humans Smile (Greetings from Frank)","5","1","1","N","N","Love these cards!","I have been using their greeting cards for several years and am very glad to have these.  Love the cut out shapes and the messages are funny.  Perfect for a short note or just to put  smile on my wife's face.  I will definitely be ordering more of these.","2015-08-14","2015","Books"
"US","12289876","R9XKF91VJFQP2","1580170234","531575098","Let it Rot!: The Gardener's Guide to Composting (Third Edition) (Storey's Down-To-Earth Guides)","3","3","25","N","Y","All about compost","This little book gives the reader all the information to get started on  compost.","2008-12-13","2008","Books"
"US","15943263","RWPNZQW0937Y1","0380791714","534499833","Wayside School Boxed Set: Wayside School Gets a Little Stranger, Wayside School is Falling Down, Sideway Stories from Wayside School","5","0","0","N","Y","The packaging was great and it arrived in perfect","I remember reading these as a child, so I bought them as a gift for a 6 year old girl. She loves them! The packaging was great and it arrived in perfect condition","2015-08-14","2015","Books"
"US","50938795","RVSWX8OVLILKQ","1886039747","94866418","Your Complete Guide to Breast Augmentation & Body Contouring","5","3","3","N","N","I read the book, I had the surgery","I read the book and then I chose one of the doctors that wrote the book to perform my procedure and I'm very happy with the results. The book gives you an idea of what to expect from your procedure but since it was written by these doctors, I feel, it also helps you know what to expect from the doctors who wrote it.   Among the many things you will consider before surgery, consider your doctor as carefully as I did and you will be glad you did it.   This book is a must read if you're interested in hiring one of these doctors that wrote it...if not, then there are many other books that are probably just as good. But it was a great book for me.","2008-12-13","2008","Books"
"US","24126205","RUMBV4RSMEAVF","0486456943","866810948","Mystical Mandala Coloring Book (Dover Design Coloring Books)","5","0","1","N","Y","Five Stars","Great price, almost paid $12 at Barnes and Noble.","2015-08-14","2015","Books"
"US","13573318","R3BGGF3CS6W1B7","0316067237","668489648","The Darkangel (The Darkangel Trilogy)","5","1","2","N","N","The dark angel","I read the  first and second book of this series when I was around 12. As an adult I had to read it again and I finished the series. It is still my favorite book as a 30 year old adult.","2008-12-13","2008","Books"
"US","43519919","R76E194Z2PL4J","0778801314","155456605","Ball Complete Book of Home Preserving","3","1","2","N","Y","I didn't realize this until trying to use it while canning this harvest and am pretty disappointed that I still had to consult U","While this book is very informative, most of the recipes directions are for a boil water canner, not a pressure canner. I didn't realize this until trying to use it while canning this harvest and am pretty disappointed that I still had to consult Uncle Google because this book did not provide the information I needed.","2015-08-14","2015","Books"
